source_url	parsed_url
https://1.1.1.1/	https://1.1.1.1/family/
https://1.1.1.1/	https://cloudflare.com
https://1.1.1.1/	https://1111-releases.cloudflareclient.com/windows/Cloudflare_WARP_Release-x64.msi
https://1.1.1.1/	https://1111-releases.cloudflareclient.com/mac/Cloudflare_WARP.zip
https://1.1.1.1/	https://1.1.1.1/dns/
https://1.1.1.1/	https://1.1.1.1/media/manifest.json
https://1.1.1.1/	https://1.1.1.1/#b
https://1.1.1.1/	https://1.1.1.1/favicon.ico
https://1.1.1.1/	https://pkg.cloudflareclient.com/
https://1.1.1.1/	https://developers.cloudflare.com/warpclient/setting-up/macOS/
https://1.1.1.1/	https://1.1.1.1/site-16bcc13e690cc771698c.css
https://1.1.1.1/	https://blog.cloudflare.com/warp-for-desktop
https://1.1.1.1/	https://1.1.1.1
https://1.1.1.1/	https://developers.cloudflare.com/warpclient/setting-up/windows/
https://1.1.1.1/	https://play.google.com/store/apps/details?id=com.cloudflare.onedotonedotonedotone
https://1.1.1.1/	https://itunes.apple.com/us/app/1-1-1-1-faster-internet/id1423538627
https://1.1.1.1/	https://developers.cloudflare.com/warpclient/setting-up/linux/
https://1.1.1.1/	https://1.1.1.1/#a
https://1.1.1.1/	https://www.cloudflare.com/careers/departments/
https://1.1.1.1/	https://twitter.com/intent/tweet?text=ISPs%20spy%20on%20your%20Internet%20traffic%20and%20sell%20the%20data.%20I%27m%20using%201.1.1.1%20with%20WARP%2C%20a%20free%20app%20which%20makes%20the%20Internet%20on%20my%20phone%20faster%20and%20more%20private.%20You%20should%20get%20the%20app%20too%3A%20https%3A//one.one.one.one
https://regex101.com/	https://regex101.com/static/quickref.076490f90739ed2b167a.chunk.js
https://regex101.com/	https://regex101.com/static/assets/flavors.md
https://regex101.com/	https://regex101.com/static/assets/icon-96.png
https://regex101.com/	https://regex101.com/static/assets/icon-60.png
https://regex101.com/	https://regex101.com/static/assets/icon-120.png
https://regex101.com/	https://regex101.com/
https://regex101.com/	https://github.com/firasdib/Regex101/wiki
https://regex101.com/	https://twitter.com/regex101
https://regex101.com/	https://regex101.com/static/assets/icon-144.png
https://regex101.com/	https://regex101.com/settings
https://regex101.com/	https://github.com/firasdib/Regex101/issues
